NR.	T.NR.	TAIME NIMI	URL	KÜSIMUSE NR.	VASTUSE NR.
	1	aas-kurereha (Geranium pratense)	../oistaim/akurereha.htm	1	6
				2	5
				3	1
				4	2
				5	4
				6	9
				7	1
				8	2
				9	4
				10	1
				11	2
	2	aas-seahernes (Lathyrus pratensis)	../oistaim/aseahernes.htm	1	3
				2	5
				3	2
				4	2
				5	1
				6	5
				7	2
				8	1
				9	3
				10	1
				11	2
	3	ahtalehine põdrakanep (Chamaenerion angustifolium)	../oistaim/podrakanep.htm	1	6
				2	4
				3	5
				4	2
				5	1
				6	7
				7	1
				8	1
				9	3
				10	1
				11	2
	4	angervaks (Filipendula ulmaria)	../oistaim/angervak.htm	1	6
				2	5
				3	4
				4	2
				5	2
				6	4
				7	2
				8	1
				9	3
				10	1
				11	2
	5	arujumikas (Centaurea jacea)	../oistaim/arujum.htm	1	5
				1	7
				2	5
				3	3
				3	6
				4	2
				5	10
				6	9
				7	1
				8	1
				9	3
				10	1
				11	2
	6	arukask (Betula pendula)	../oistaim/arukask.htm	1	8
				2	4
				3	2
				3	9
				4	2
				5	8
				6	8
				7	1
				8	1
				9	3
				10	2
				11	1
	7	äiatar (Knautia arvensis)	../oistaim/aiatar.htm	1	8
				2	4
				2	5
				3	4
				3	5
				3	6
				4	2
				5	9
				6	9
				7	1
				8	1
				9	1
				9	4
				10	1
				11	2
	8	hanijalg (Potentilla anserina)	../oistaim/hanijalg.htm	1	6
				2	5
				3	2
				4	1
				6	9
				7	2
				8	1
				9	3
				9	4
				10	1
				11	2
	9	hapu oblikas (Rumex acetosa)	../oistaim/hoblik.htm	1	6
				2	6
				3	3
				4	2
				5	2
				6	10
				7	1
				8	1
				9	1
				9	3
				10	1
				11	1
	10	harilik hiirehernes (Vicea cracca)	../oistaim/hhiirher.htm	1	3
				2	5
				3	1
				3	6
				4	2
				5	1
				6	5
				7	2
				8	1
				9	3
				10	1
				11	2
	11	harilik härghein (Melampyrum nemorosum)	../oistaim/hharghein.htm	1	2
				2	5
				3	2
				4	2
				5	7
				6	7
				7	1
				8	1
				9	3
				10	1
				11	2
	12	harilik jõhvikas (Oxycoccus palustris)	../oistaim/johvikas.htm	1	8
				2	4
				3	3
				3	5
				4	1
				6	1
				7	1
				8	1
				9	3
				10	2
				11	2
	13	harilik jänesekapsas (Oxalis acetosella)	../oistaim/janesek.htm	1	6
				2	5
				3	4
				4	1
				6	7
				7	2
				8	2
				9	1
				10	1
				11	2
	14	harilik kerahein (Dactylis glomerata)	../oistaim/kerahein.htm	1	6
				2	2
				3	8
				4	2
				5	5
				6	9
				7	1
				8	4
				9	1
				9	3
				10	1
				11	1
	15	harilik koldrohi (Anthyllis vulneraria)	../oistaim/koldrohi.htm	1	3
				2	5
				3	2
				4	2
				5	9
				6	5
				7	2
				8	1
				9	3
				10	1
				11	2
	16	harilik kopsurohi (Pulmonaria officinalis)	../oistaim/hkopsur.htm	1	1
				2	5
				3	1
				3	3
				3	5
				3	6
				4	2
				5	4
				6	8
				7	1
				8	1
				9	1
				9	3
				10	1
				11	2
	17	harilik kukehari (Sedum acre)	../oistaim/harkukeh.htm	1	6
				2	5
				3	2
				4	1
				6	4
				7	1
				8	1
				9	3
				10	1
				11	2
	18	harilik kuslapuu (Lonicera xylosteum)	../oistaim/kuslapuu.htm	1	8
				2	5
				3	2
				4	1
				6	1
				7	1
				8	1
				9	4
				10	2
				11	2
	19	harilik käbihein (Prunella vulgaris)	../oistaim/kabih.htm	1	2
				2	5
				3	6
				4	2
				5	7
				6	8
				7	1
				8	1
				9	4
				10	1
				11	2
	20	harilik lodjapuu (Viburnum opulus)	../oistaim/lodjap.htm	1	8
				2	5
				3	4
				3	5
				3	8
				4	2
				5	3
				6	3
				7	1
				8	1
				9	4
				10	2
				11	2
	21	harilik moorputk (Pastinaca sylvestris)	../oistaim/moorputk.htm	1	6
				2	5
				3	2
				4	2
				5	4
				6	9
				7	2
				8	1
				9	1
				9	3
				10	1
				11	2
	22	harilik nurmenukk (Primula veris)	../oistaim/nnukk.htm	1	1
				2	5
				3	2
				4	2
				5	4
				6	7
				7	1
				8	1
				9	1
				10	1
				11	2
	23	harilik pihlakas (Sorbus aucuparia)	../oistaim/pihlak.htm	1	6
				2	5
				3	4
				4	2
				5	3
				6	2
				7	2
				8	1
				9	3
				10	2
				11	2
	24	harilik puju (Artemisia vulgaris)	../oistaim/hpuju.htm	1	5
				2	5
				3	2
				3	3
				3	6
				4	2
				5	10
				6	9
				7	1
				8	1
				9	3
				10	1
				10	2
				11	2
	25	harilik pärn (Tilia cordata)	../oistaim/parn.htm	1	6
				2	5
				3	2
				4	2
				5	4
				6	8
				7	1
				8	2
				9	3
				10	2
				11	2
	26	harilik sarapuu (Corylus avellana)	../oistaim/sarapuu.htm	1	8
				2	4
				3	2
				3	3
				3	5
				3	9
				4	1
				4	2
				5	8
				6	10
				7	1
				8	1
				9	3
				10	2
				11	1
	27	harilik tamm (Quercus robur)	../oistaim/tamm.htm	1	8
				2	4
				3	2
				3	8
				4	2
				5	8
				6	10
				7	1
				8	1
				9	3
				10	2
				11	1
	28	harilik vaarikas (Rubus idaeus)	../oistaim/vaarikas.htm	1	8
				2	5
				3	4
				4	2
				5	1
				6	3
				7	2
				8	1
				9	1
				10	2
				11	2
	29	harilik vaher (Acer platanoides)	../oistaim/vaher.htm	1	6
				2	5
				3	2
				4	2
				5	3
				6	8
				7	1
				8	2
				9	4
				10	2
				11	2
	30	harilik võilill (Taraxacum officinale)	../oistaim/voilill.htm	1	4
				2	5
				3	2
				4	2
				5	10
				6	9
				7	1
				8	1
				9	1
				10	1
				11	2
	31	hiirekõrv (Capsella bursa-pastoris)	../oistaim/hiirekorv.htm	1	6
				2	4
				3	4
				4	2
				5	1
				6	6
				7	1
				8	1
				9	1
				9	3
				10	1
				11	2
	32	hobumadar (Galium verum)	../oistaim/hobum.htm	1	8
				2	4
				3	2
				4	2
				5	2
				6	8
				7	1
				8	1
				9	2
				10	1
				11	2
	33	humal (Humulus lupulus)	../oistaim/humal.htm	1	8
				2	5
				2	6
				3	8
				4	2
				5	2
				6	8
				7	1
				8	2
				9	4
				10	2
				11	1
	34	härjasilm (Leucanthemum vulgare)	../oistaim/harjasilm.htm	1	4
				1	5
				2	5
				3	2
				3	4
				4	2
				5	10
				6	9
				7	1
				8	1
				9	3
				10	1
				11	2
	35	imikas (Anchusa officinalis)	../oistaim/imikas.htm	1	8
				2	5
				3	1
				3	3
				3	6
				4	2
				5	1
				6	8
				7	1
				8	1
				9	3
				10	1
				11	2
	36	jõgi-kõõlusleht (Sagittaria sagittifolia)	../oistaim/koolusleht.htm	1	6
				2	3
				3	4
				3	6
				4	1
				6	8
				7	1
				8	3
				8	4
				9	1
				10	1
				11	2
	37	kalmus (Acorus calamus)	../oistaim/kalmus.htm	1	6
				2	6
				3	2
				3	8
				4	2
				5	6
				6	1
				7	1
				8	4
				9	1
				10	1
				11	1
	38	kanakoole (Ranunculis ficaria)	../oistaim/kanakoole.htm	1	6
				2	6
				3	2
				4	1
				6	8
				7	1
				8	2
				9	1
				9	3
				10	1
				11	2
	39	kanarbik (Calluna vulgaris)	../oistaim/kanarbik.htm	1	1
				2	4
				3	6
				4	2
				5	2
				6	7
				7	1
				8	1
				9	4
				10	2
				11	2
	40	kare kõrvik (Galeopsis tetrahit)	../oistaim/karekorv.htm	1	2
				2	5
				3	6
				4	1
				6	8
				7	1
				8	1
				9	4
				10	1
				11	2
	41	kassiristik (Trifolium arvense)	../oistaim/kassir.htm	1	3
				2	5
				3	4
				3	5
				4	2
				5	9
				6	5
				7	2
				8	1
				9	3
				10	1
				11	2
	42	kassitapp (Convolvulus arvensis)	../oistaim/kassitap.htm	1	7
				2	5
				3	4
				3	5
				4	1
				6	7
				7	1
				8	1
				9	3
				10	1
				11	2
	43	kerakellukas (Campanula glomerata)	../oistaim/kerakell.htm	1	1
				2	5
				3	1
				4	1
				6	7
				7	1
				8	1
				9	3
				10	1
				11	2
	44	keskmine ristik (Trifolium medium)	../oistaim/keskrist.htm	1	3
				2	5
				3	3
				3	6
				4	2
				5	9
				6	5
				7	2
				8	1
				9	3
				10	1
				11	2
	45	keskmine teeleht (Plantago media)	../oistaim/kteel.htm	1	5
				2	4
				3	4
				3	5
				3	6
				4	2
				5	7
				6	7
				7	1
				8	3
				9	1
				10	1
				11	2
	46	kibe tulikas (Ranunculus acris)	../oistaim/kibetul.htm	1	6
				2	5
				3	2
				4	1
				6	8
				7	1
				8	2
				9	1
				9	3
				10	1
				11	2
	47	koera-pöörirohi (Hyoscyamus niger)	../oistaim/koerapoor.htm	1	1
				2	5
				3	2
				4	2
				5	1
				6	7
				7	1
				8	1
				9	1
				9	3
				10	1
				11	2
	48	kollane karikakar (Anthemis tinctoria)	../oistaim/kolkkakar.htm	1	4
				1	5
				2	5
				3	2
				4	2
				5	10
				6	9
				7	1
				8	1
				9	3
				10	1
				11	1
	49	kollane vesikupp (Nuphar lutea)	../oistaim/vesikupp.htm	1	6
				2	6
				3	2
				4	1
				6	7
				7	1
				8	2
				9	3
				10	1
				11	2
	50	kortsleht (Alchemilla)	../oistaim/kortsl.htm	1	8
				2	4
				3	2
				3	8
				4	2
				5	2
				6	8
				7	1
				8	2
				9	1
				9	3
				10	1
				11	1
	51	kukemari (Empetrum nigrum)	../oistaim/kukemari.htm	1	6
				2	3
				3	3
				3	5
				4	1
				6	3
				7	1
				8	1
				9	3
				10	1
				11	2
	52	kullerkupp (Trollius europaeus)	../oistaim/kkupp.htm	1	6
				2	6
				3	2
				4	1
				6	4
				7	1
				8	2
				9	1
				9	3
				10	1
				11	2
	53	kurekael (Erodium cicutarium)	../oistaim/kurek.htm	1	6
				2	5
				3	3
				3	5
				4	2
				5	4
				6	9
				7	2
				8	1
				9	3
				9	4
				10	1
				11	2
	54	kurekellukas (Campanula rapunculoides)	../oistaim/kurekell.htm	1	1
				2	5
				3	1
				4	2
				5	1
				6	7
				7	1
				8	1
				9	1
				9	3
				10	1
				11	2
	55	kõrvenõges (Urtica dioica)	../oistaim/noges.htm	1	6
				2	4
				3	6
				3	8
				3	9
				4	2
				5	2
				6	8
				7	1
				8	1
				9	4
				10	1
				11	1
	56	külmamailane (Veronica chamaedrys)	../oistaim/kymail.htm	1	2
				2	5
				3	1
				4	2
				5	1
				6	7
				7	1
				8	1
				9	4
				10	1
				11	2
	57	küüvits (Andromeda poifolia)	../oistaim/kyyvits.htm	1	9
				2	5
				3	3
				3	4
				3	5
				4	2
				5	3
				6	7
				7	1
				8	1
				9	3
				10	2
				11	2
	58	laanelill (Trientalis europaea)	../oistaim/laanelill.htm	1	6
				2	6
				3	4
				4	1
				6	7
				7	1
				8	1
				9	2
				10	1
				11	2
	59	leesikas (Arctostaphylos uva-ursi)	../oistaim/leesik.htm	1	1
				2	5
				3	4
				3	5
				4	2
				5	1
				6	3
				7	1
				8	1
				9	3
				10	2
				11	2
	60	lepiklill (Chrysosplenium alternifolium)	../oistaim/lepikl.htm	1	6
				2	4
				3	2
				4	2
				5	3
				6	4
				7	1
				8	1
				8	2
				9	3
				10	1
				11	2
	61	leseleht (Maianthemum bifolium)	../oistaim/leseleht.htm	1	6
				2	4
				3	4
				4	2
				5	1
				6	1
				7	1
				8	3
				9	3
				10	1
				11	1
	62	liht-naistepuna (Hypericum perforatum)	../oistaim/lnpuna.htm	1	6
				2	5
				3	2
				4	2
				5	2
				5	3
				6	7
				7	1
				8	1
				9	4
				10	2
				11	2
	63	luigelill (Butomus umbellatus)	../oistaim/luigelill.htm	1	6
				2	3
				3	5
				3	6
				4	2
				5	4
				6	4
				7	1
				8	4
